full_date,day,day_name,day_of_week,week_of_year,month,month_name,quarter,year,is_weekend
01-01-2023,1,Sunday,7,52,1,January,1,2023,Y
02-01-2023,2,Monday,1,1,1,January,1,2023,N
03-01-2023,3,Tuesday,2,1,1,January,1,2023,N
04-01-2023,4,Wednesday,3,1,1,January,1,2023,N
05-01-2023,5,Thursday,4,1,1,January,1,2023,N
06-01-2023,6,Friday,5,1,1,January,1,2023,N
07-01-2023,7,Saturday,6,1,1,January,1,2023,Y
08-01-2023,8,Sunday,7,1,1,January,1,2023,Y
09-01-2023,9,Monday,1,2,1,January,1,2023,N
10-01-2023,10,Tuesday,2,2,1,January,1,2023,N
11-01-2023,11,Wednesday,3,2,1,January,1,2023,N
12-01-2023,12,Thursday,4,2,1,January,1,2023,N
13-01-2023,13,Friday,5,2,1,January,1,2023,N
14-01-2023,14,Saturday,6,2,1,January,1,2023,Y
15-01-2023,15,Sunday,7,2,1,January,1,2023,Y
16-01-2023,16,Monday,1,3,1,January,1,2023,N
17-01-2023,17,Tuesday,2,3,1,January,1,2023,N
18-01-2023,18,Wednesday,3,3,1,January,1,2023,N
19-01-2023,19,Thursday,4,3,1,January,1,2023,N
20-01-2023,20,Friday,5,3,1,January,1,2023,N
21-01-2023,21,Saturday,6,3,1,January,1,2023,Y
22-01-2023,22,Sunday,7,3,1,January,1,2023,Y
23-01-2023,23,Monday,1,4,1,January,1,2023,N
24-01-2023,24,Tuesday,2,4,1,January,1,2023,N
25-01-2023,25,Wednesday,3,4,1,January,1,2023,N
26-01-2023,26,Thursday,4,4,1,January,1,2023,N
27-01-2023,27,Friday,5,4,1,January,1,2023,N
28-01-2023,28,Saturday,6,4,1,January,1,2023,Y
29-01-2023,29,Sunday,7,4,1,January,1,2023,Y
30-01-2023,30,Monday,1,5,1,January,1,2023,N
31-01-2023,31,Tuesday,2,5,1,January,1,2023,N
01-02-2023,1,Wednesday,3,5,2,February,1,2023,N
02-02-2023,2,Thursday,4,5,2,February,1,2023,N
03-02-2023,3,Friday,5,5,2,February,1,2023,N
04-02-2023,4,Saturday,6,5,2,February,1,2023,Y
05-02-2023,5,Sunday,7,5,2,February,1,2023,Y
06-02-2023,6,Monday,1,6,2,February,1,2023,N
07-02-2023,7,Tuesday,2,6,2,February,1,2023,N
08-02-2023,8,Wednesday,3,6,2,February,1,2023,N
09-02-2023,9,Thursday,4,6,2,February,1,2023,N
10-02-2023,10,Friday,5,6,2,February,1,2023,N
11-02-2023,11,Saturday,6,6,2,February,1,2023,Y
12-02-2023,12,Sunday,7,6,2,February,1,2023,Y
13-02-2023,13,Monday,1,7,2,February,1,2023,N
14-02-2023,14,Tuesday,2,7,2,February,1,2023,N
15-02-2023,15,Wednesday,3,7,2,February,1,2023,N
16-02-2023,16,Thursday,4,7,2,February,1,2023,N
17-02-2023,17,Friday,5,7,2,February,1,2023,N
18-02-2023,18,Saturday,6,7,2,February,1,2023,Y
19-02-2023,19,Sunday,7,7,2,February,1,2023,Y
20-02-2023,20,Monday,1,8,2,February,1,2023,N
21-02-2023,21,Tuesday,2,8,2,February,1,2023,N
22-02-2023,22,Wednesday,3,8,2,February,1,2023,N
23-02-2023,23,Thursday,4,8,2,February,1,2023,N
24-02-2023,24,Friday,5,8,2,February,1,2023,N
25-02-2023,25,Saturday,6,8,2,February,1,2023,Y
26-02-2023,26,Sunday,7,8,2,February,1,2023,Y
27-02-2023,27,Monday,1,9,2,February,1,2023,N
28-02-2023,28,Tuesday,2,9,2,February,1,2023,N
01-03-2023,1,Wednesday,3,9,3,March,1,2023,N
02-03-2023,2,Thursday,4,9,3,March,1,2023,N
03-03-2023,3,Friday,5,9,3,March,1,2023,N
04-03-2023,4,Saturday,6,9,3,March,1,2023,Y
05-03-2023,5,Sunday,7,9,3,March,1,2023,Y
06-03-2023,6,Monday,1,10,3,March,1,2023,N
07-03-2023,7,Tuesday,2,10,3,March,1,2023,N
08-03-2023,8,Wednesday,3,10,3,March,1,2023,N
09-03-2023,9,Thursday,4,10,3,March,1,2023,N
10-03-2023,10,Friday,5,10,3,March,1,2023,N
11-03-2023,11,Saturday,6,10,3,March,1,2023,Y
12-03-2023,12,Sunday,7,10,3,March,1,2023,Y
13-03-2023,13,Monday,1,11,3,March,1,2023,N
14-03-2023,14,Tuesday,2,11,3,March,1,2023,N
15-03-2023,15,Wednesday,3,11,3,March,1,2023,N
