action_id,dividend_amount,currency
1,44.38,USD
2,31.85,USD
3,37.15,INR
4,27.45,USD
5,13.93,USD
6,32.81,USD
7,16.48,INR
8,42.02,USD
9,31.3,USD
10,8.35,USD
11,26.34,INR
12,23.97,INR
13,6.45,USD
14,11.97,USD
15,25.16,USD
16,21.22,USD
17,27.47,INR
18,34.89,INR
19,38.4,USD
20,22.66,INR
21,33.21,USD
22,27.16,INR
23,33.68,USD
24,28.94,INR
25,33.62,INR
26,44.18,USD
27,40.47,INR
28,30.25,INR
29,45.24,USD
30,40.36,INR
31,20.78,INR
32,45.46,USD
33,38.42,INR
34,45.99,INR
35,20.79,USD
36,33.05,USD
37,49.54,INR
38,7.87,USD
39,28.31,INR
40,11.15,INR
41,38.03,USD
42,7.15,INR
43,49.14,INR
44,31.28,USD
45,17.51,USD
46,34.87,INR
47,48.26,INR
48,26.84,USD
49,36.51,INR
50,6.88,INR
51,41.79,USD
52,17.45,INR
53,37.57,INR
54,7.66,USD
55,9.16,INR
56,35.22,USD
57,24.58,INR
58,15.31,USD
59,15.15,USD
60,20.21,INR
61,21.47,USD
62,45.74,USD
63,11.75,INR
64,29.14,USD
65,9.13,INR
66,31.76,USD
67,11.09,USD
68,43.33,USD
69,44.84,USD
70,10.99,USD
71,10.66,INR
72,6.67,INR
73,6.04,INR
74,28.93,INR
75,37.77,USD
76,44.74,USD
77,45.51,INR
78,22.97,USD
79,26.03,INR
80,21.81,USD
81,12.35,INR
82,49.15,USD
83,28.5,USD
84,31.37,INR
85,32.93,USD
86,24.58,USD
87,9.37,USD
88,5.99,USD
89,15.71,USD
90,5.69,USD
91,23.11,USD
92,7.96,USD
93,10.73,USD
94,7.04,USD
95,26.88,INR
96,49.55,USD
97,31.37,INR
98,35.51,INR
99,9.4,USD
100,27.69,USD
101,24.41,INR
102,24.13,USD
103,27.24,USD
104,19.8,USD
105,15.79,USD
106,38.85,INR
107,28.55,USD
108,45.76,INR
109,11.83,INR
110,8.12,INR
111,9.29,USD
112,38.75,USD
113,47.63,INR
114,23.42,INR
115,32.75,USD
116,46.83,INR
117,23.77,USD
118,12.39,USD
119,36.01,USD
120,25.84,USD
121,30.89,INR
122,28.76,USD
123,19.95,USD
124,6.78,USD
125,10.77,USD
126,36.98,USD
127,23.13,USD
128,19.31,INR
129,7.57,USD
130,42.47,INR
131,28.36,INR
132,11.86,INR
133,30.7,USD
134,33.27,INR
135,34.29,USD
136,43.32,USD
137,31.15,INR
138,14.73,INR
139,27.66,USD
140,30.19,INR
141,40.04,INR
142,26.04,INR
143,25.52,USD
144,36.19,USD
145,27.33,USD
146,33.44,INR
147,19.79,INR
148,29.6,INR
149,19.0,USD
150,12.27,INR
151,6.9,INR
152,10.69,USD
153,42.5,INR
154,20.91,USD
155,28.69,USD
156,43.29,USD
157,12.82,USD
158,30.05,USD
159,6.16,USD
160,35.55,USD
161,48.3,INR
162,40.32,USD
163,21.67,INR
164,20.87,USD
165,21.65,USD
166,39.51,INR
167,5.74,USD
168,27.38,INR
169,10.02,INR
170,41.34,USD
171,8.28,USD
172,29.64,INR
173,6.31,USD
174,12.51,USD
175,39.47,INR
176,30.8,USD
177,48.76,USD
178,40.84,USD
179,19.72,INR
180,40.97,USD
181,23.96,INR
182,9.47,INR
183,18.69,INR
184,7.16,INR
185,37.8,INR
186,49.43,USD
187,19.54,INR
188,6.79,INR
189,24.04,INR
190,42.79,USD
191,21.23,USD
192,14.49,USD
193,19.65,USD
194,33.47,INR
195,19.93,INR
196,40.22,USD
197,43.26,USD
198,27.15,INR
199,6.4,USD
200,12.87,INR
201,23.08,INR
202,48.32,INR
203,47.8,USD
204,8.11,INR
205,41.1,USD
206,34.48,USD
207,29.1,USD
208,11.91,USD
209,11.72,USD
210,23.06,INR
211,36.29,USD
212,39.44,INR
213,46.48,USD
214,10.65,INR
215,8.3,USD
216,24.33,USD
217,37.3,USD
218,19.32,USD
219,19.93,INR
220,20.61,USD
221,13.06,INR
222,43.85,USD
223,30.58,INR
224,42.04,USD
225,24.81,USD
226,26.34,USD
227,48.24,USD
228,13.78,INR
229,15.17,USD
230,46.1,INR
231,10.26,USD
232,9.12,INR
233,24.99,USD
234,44.2,INR
235,11.77,USD
236,42.59,INR
237,47.09,INR
238,27.46,USD
239,21.82,USD
240,17.39,USD
241,44.94,USD
242,46.06,USD
243,17.76,INR
244,48.58,USD
245,28.99,INR
246,22.23,INR
247,8.44,INR
248,46.41,INR
249,6.74,INR
250,14.84,INR
251,14.21,INR
252,10.24,USD
253,48.74,INR
254,49.34,USD
255,33.51,INR
256,14.2,USD
257,7.66,INR
258,41.33,INR
259,20.91,INR
260,12.96,USD
261,7.83,INR
262,17.31,USD
263,25.64,USD
264,41.69,INR
265,45.57,INR
266,48.23,INR
267,26.23,USD
268,5.1,USD
269,42.11,USD
270,27.52,USD
271,7.69,INR
272,23.38,USD
273,16.2,INR
274,6.21,INR
275,45.89,USD
276,15.79,INR
277,7.65,USD
278,13.39,USD
279,23.05,INR
280,20.77,INR
281,15.6,USD
282,27.73,INR
283,16.95,INR
284,32.77,USD
285,13.54,USD
286,14.85,INR
287,11.18,USD
288,21.18,INR
289,28.1,USD
290,45.08,INR
291,14.12,USD
292,32.31,USD
293,38.07,USD
294,18.42,INR
295,36.98,USD
296,15.14,USD
297,24.3,INR
298,15.31,INR
299,33.09,USD
300,20.33,USD
301,16.23,INR
302,9.07,USD
303,36.76,USD
304,39.38,USD
305,14.32,USD
306,21.61,USD
307,8.04,INR
308,43.12,USD
309,37.3,INR
310,25.61,USD
311,26.63,INR
312,17.1,USD
313,15.91,INR
314,43.96,INR
315,40.31,INR
316,47.28,USD
317,44.21,INR
318,13.05,USD
319,40.17,USD
320,46.4,INR
321,21.85,USD
322,25.33,INR
323,48.87,USD
324,36.29,INR
325,9.15,INR
326,5.69,INR
327,48.53,USD
328,19.25,INR
329,41.37,USD
330,44.13,USD
331,22.24,INR
332,43.4,USD
333,48.68,INR
334,32.74,INR
335,15.96,USD
336,26.1,USD
337,15.06,INR
338,29.0,INR
339,14.66,INR
340,47.65,USD
341,22.32,INR
342,14.28,USD
343,29.48,INR
344,44.2,USD
345,29.65,INR
346,11.73,USD
347,17.49,INR
348,28.75,USD
349,33.66,USD
350,29.9,USD
351,24.06,INR
352,5.7,INR
353,36.77,USD
354,34.58,INR
355,19.68,INR
356,6.59,INR
357,18.56,INR
358,13.5,USD
359,20.62,INR
360,20.26,INR
361,34.62,INR
362,48.04,INR
363,44.05,USD
364,44.5,USD
365,17.13,USD
366,22.02,USD
367,7.01,INR
368,13.22,INR
369,15.59,USD
370,7.28,INR
371,5.52,USD
372,31.26,USD
373,49.69,USD
374,15.03,INR
375,35.58,USD
376,13.65,INR
377,23.98,USD
378,27.43,INR
379,22.09,INR
380,14.79,USD
381,13.18,USD
382,24.89,USD
383,20.31,USD
384,7.56,USD
385,35.03,USD
386,20.33,USD
387,32.23,USD
388,18.41,USD
389,18.57,USD
390,46.84,USD
391,48.55,USD
392,7.3,INR
393,13.35,INR
394,21.64,INR
395,37.46,INR
396,38.51,USD
397,22.7,INR
398,10.84,INR
399,17.79,INR
400,31.97,USD
401,39.64,USD
402,12.83,INR
403,10.21,USD
404,23.55,INR
405,42.74,INR
406,14.79,USD
407,32.38,USD
408,22.14,USD
409,46.21,INR
410,30.64,USD
411,7.57,INR
412,48.78,INR
413,28.93,USD
414,19.58,INR
415,39.02,USD
416,8.11,INR
417,22.3,INR
418,23.5,USD
419,37.23,USD
420,20.01,INR
421,41.02,INR
422,36.65,USD
423,49.31,USD
424,39.21,INR
425,23.9,INR
426,19.72,USD
427,25.63,INR
428,46.96,USD
429,28.52,USD
430,13.03,USD
431,38.28,USD
432,20.35,INR
433,40.69,USD
434,27.33,INR
435,19.82,USD
436,48.99,INR
437,20.17,USD
438,44.89,INR
439,48.12,USD
440,6.2,USD
441,17.99,USD
442,41.53,INR
443,39.9,INR
444,22.38,USD
445,48.98,INR
446,48.93,INR
447,5.55,USD
448,32.83,USD
449,43.0,USD
450,23.92,USD
451,31.11,INR
452,29.03,USD
453,10.68,INR
