action_id,target_company,acquirer_company
1,TCS,TCS
2,ICICIBANK,ICICIBANK
3,WIPRO,SBIN
4,AXISBANK,SBIN
5,INFY,HDFCBANK
6,WIPRO,WIPRO
7,RELIANCE,ICICIBANK
8,TCS,RELIANCE
9,ICICIBANK,ICICIBANK
10,HDFCBANK,WIPRO
11,RELIANCE,INFY
12,SBIN,TCS
13,INFY,INFY
14,RELIANCE,SBIN
15,TCS,ICICIBANK
16,AXISBANK,TCS
17,INFY,INFY
18,SBIN,RELIANCE
19,AXISBANK,AXISBANK
20,TCS,HDFCBANK
21,SBIN,SBIN
22,INFY,RELIANCE
23,AXISBANK,WIPRO
24,ICICIBANK,INFY
25,ICICIBANK,AXISBANK
26,SBIN,ICICIBANK
27,AXISBANK,AXISBANK
28,HDFCBANK,AXISBANK
29,ICICIBANK,TCS
30,RELIANCE,RELIANCE
31,AXISBANK,TCS
32,ICICIBANK,HDFCBANK
33,INFY,INFY
34,WIPRO,INFY
35,WIPRO,HDFCBANK
36,AXISBANK,WIPRO
37,ICICIBANK,RELIANCE
38,AXISBANK,TCS
39,AXISBANK,AXISBANK
40,RELIANCE,WIPRO
41,AXISBANK,TCS
42,WIPRO,HDFCBANK
43,INFY,HDFCBANK
44,WIPRO,HDFCBANK
45,HDFCBANK,ICICIBANK
46,SBIN,INFY
47,SBIN,INFY
48,TCS,ICICIBANK
49,INFY,RELIANCE
50,WIPRO,RELIANCE
51,ICICIBANK,HDFCBANK
52,AXISBANK,INFY
53,WIPRO,RELIANCE
54,TCS,RELIANCE
55,HDFCBANK,WIPRO
56,AXISBANK,SBIN
57,INFY,TCS
58,TCS,ICICIBANK
59,ICICIBANK,ICICIBANK
60,SBIN,ICICIBANK
61,AXISBANK,HDFCBANK
62,WIPRO,WIPRO
63,RELIANCE,INFY
64,RELIANCE,TCS
65,WIPRO,AXISBANK
66,TCS,WIPRO
67,TCS,ICICIBANK
68,TCS,ICICIBANK
69,ICICIBANK,TCS
70,AXISBANK,INFY
71,RELIANCE,RELIANCE
72,SBIN,AXISBANK
73,WIPRO,RELIANCE
74,WIPRO,SBIN
75,WIPRO,AXISBANK
76,SBIN,AXISBANK
77,INFY,WIPRO
78,ICICIBANK,RELIANCE
79,RELIANCE,ICICIBANK
80,TCS,TCS
81,HDFCBANK,WIPRO
82,INFY,WIPRO
83,SBIN,RELIANCE
