action_id,split_ratio
1,2:1
2,5:1
3,2:1
4,2:1
5,5:1
6,5:1
7,5:1
8,10:1
9,2:1
10,5:1
11,5:1
12,10:1
13,2:1
14,10:1
15,2:1
16,10:1
17,10:1
18,10:1
19,10:1
20,2:1
21,5:1
22,10:1
23,2:1
24,5:1
25,2:1
26,5:1
27,5:1
28,2:1
29,10:1
30,5:1
31,10:1
32,2:1
33,2:1
34,2:1
35,2:1
36,5:1
37,2:1
38,5:1
39,5:1
40,10:1
41,2:1
42,2:1
43,5:1
44,5:1
45,10:1
46,10:1
47,2:1
48,5:1
49,2:1
50,5:1
51,2:1
52,5:1
53,10:1
54,10:1
55,2:1
56,2:1
57,10:1
58,10:1
59,2:1
60,10:1
61,10:1
62,10:1
63,5:1
64,2:1
65,2:1
66,2:1
67,2:1
68,5:1
69,2:1
70,5:1
71,10:1
72,10:1
73,2:1
74,2:1
75,5:1
76,10:1
77,2:1
78,5:1
79,5:1
80,10:1
81,5:1
82,10:1
83,10:1
84,5:1
85,10:1
86,5:1
87,5:1
88,10:1
89,2:1
90,2:1
91,2:1
92,10:1
93,5:1
94,5:1
95,10:1
96,5:1
97,2:1
98,2:1
99,10:1
100,10:1
101,10:1
102,2:1
103,10:1
104,10:1
105,5:1
106,5:1
107,5:1
108,10:1
109,2:1
110,5:1
111,5:1
112,5:1
113,5:1
114,2:1
115,10:1
116,10:1
117,10:1
118,2:1
119,5:1
120,10:1
121,2:1
122,5:1
123,2:1
124,5:1
125,10:1
126,5:1
127,5:1
128,2:1
129,5:1
130,5:1
131,10:1
132,10:1
133,2:1
134,5:1
135,5:1
136,5:1
137,2:1
138,5:1
139,2:1
140,2:1
141,5:1
142,2:1
143,10:1
144,5:1
145,5:1
146,2:1
147,5:1
148,10:1
149,5:1
150,10:1
151,5:1
152,10:1
153,2:1
154,5:1
155,2:1
156,5:1
157,2:1
158,2:1
159,2:1
160,5:1
161,2:1
162,10:1
163,10:1
164,10:1
165,5:1
166,2:1
167,10:1
168,10:1
169,2:1
170,10:1
171,10:1
172,5:1
173,5:1
174,5:1
175,10:1
176,10:1
177,2:1
178,5:1
179,2:1
180,10:1
181,2:1
182,2:1
183,2:1
184,10:1
185,5:1
186,5:1
187,2:1
188,10:1
189,10:1
190,5:1
191,5:1
192,2:1
193,10:1
194,10:1
195,5:1
196,5:1
197,10:1
198,10:1
199,5:1
200,5:1
201,10:1
202,2:1
203,10:1
204,5:1
205,5:1
206,10:1
207,5:1
208,10:1
209,10:1
210,2:1
211,10:1
212,5:1
213,2:1
214,2:1
215,5:1
216,5:1
217,2:1
218,5:1
219,10:1
220,5:1
221,2:1
222,5:1
223,5:1
224,5:1
225,10:1
226,10:1
227,2:1
228,5:1
229,5:1
230,10:1
231,2:1
232,10:1
233,2:1
234,2:1
235,5:1
236,5:1
237,5:1
238,10:1
239,10:1
240,5:1
241,2:1
242,2:1
243,5:1
244,2:1
245,5:1
246,2:1
247,5:1
248,2:1
249,2:1
250,10:1
251,10:1
252,5:1
253,2:1
254,10:1
255,2:1
256,10:1
257,5:1
258,2:1
259,10:1
260,5:1
261,5:1
262,5:1
263,10:1
264,5:1
265,5:1
266,10:1
267,2:1
268,10:1
269,5:1
270,10:1
271,10:1
272,5:1
273,5:1
274,10:1
275,5:1
276,2:1
277,5:1
278,5:1
279,2:1
280,5:1
281,10:1
282,10:1
283,2:1
284,5:1
285,5:1
286,5:1
287,2:1
288,10:1
289,5:1
290,5:1
291,10:1
292,10:1
293,10:1
294,10:1
295,10:1
296,10:1
297,2:1
298,5:1
299,10:1
300,2:1
301,10:1
302,5:1
303,10:1
304,5:1
305,2:1
306,5:1
307,10:1
308,10:1
309,2:1
310,10:1
311,5:1
312,10:1
313,2:1
314,5:1
315,5:1
316,5:1
317,2:1
318,10:1
319,2:1
320,10:1
321,2:1
322,2:1
323,5:1
324,5:1
325,5:1
326,2:1
327,5:1
328,2:1
329,2:1
330,10:1
331,2:1
332,5:1
333,2:1
334,2:1
335,5:1
336,5:1
337,5:1
338,5:1
339,5:1
340,5:1
341,10:1
342,5:1
343,2:1
344,5:1
345,5:1
346,2:1
347,5:1
348,2:1
349,2:1
350,10:1
351,2:1
352,10:1
353,10:1
354,10:1
355,10:1
356,5:1
357,2:1
358,5:1
359,10:1
360,5:1
361,10:1
362,5:1
363,2:1
364,2:1
365,5:1
366,5:1
367,5:1
368,10:1
369,2:1
370,5:1
371,2:1
372,5:1
373,5:1
374,10:1
375,5:1
376,2:1
377,10:1
378,10:1
379,5:1
380,2:1
381,2:1
382,10:1
383,5:1
384,5:1
385,10:1
386,10:1
387,2:1
388,2:1
389,5:1
390,2:1
391,5:1
392,10:1
393,5:1
394,10:1
395,10:1
396,5:1
397,10:1
398,2:1
399,5:1
400,5:1
401,10:1
402,2:1
403,5:1
404,10:1
405,2:1
406,5:1
407,10:1
408,2:1
409,10:1
410,10:1
411,2:1
412,2:1
413,10:1
414,2:1
415,2:1
416,2:1
417,10:1
418,5:1
419,10:1
420,5:1
421,5:1
422,10:1
423,10:1
424,2:1
425,2:1
426,2:1
427,2:1
428,2:1
429,10:1
430,5:1
431,10:1
432,2:1
433,10:1
434,5:1
435,2:1
436,10:1
437,5:1
438,5:1
439,2:1
440,5:1
441,2:1
442,2:1
443,10:1
444,10:1
445,5:1
446,5:1
447,5:1
448,2:1
449,10:1
450,5:1
451,5:1
452,10:1
453,10:1
454,5:1
455,10:1
456,2:1
457,5:1
458,10:1
459,2:1
460,5:1
461,2:1
462,10:1
463,10:1
464,5:1
465,10:1
466,5:1
467,5:1
468,10:1
469,2:1
470,2:1
471,2:1
472,10:1
473,2:1
474,10:1
475,10:1
476,2:1
477,10:1
478,10:1
479,5:1
480,5:1
481,10:1
482,2:1
483,2:1
484,2:1
485,10:1
486,2:1
487,5:1
488,10:1
489,10:1
490,10:1
491,10:1
492,2:1
493,2:1
494,10:1
495,5:1
496,2:1
497,2:1
498,5:1
499,5:1
500,2:1
501,5:1
502,5:1
503,10:1
504,2:1
505,5:1
506,10:1
507,2:1
508,5:1
509,2:1
510,10:1
511,2:1
512,5:1
513,10:1
514,5:1
515,2:1
516,2:1
517,5:1
518,2:1
519,10:1
520,5:1
521,5:1
522,2:1
523,5:1
524,10:1
525,2:1
526,5:1
527,2:1
528,2:1
529,5:1
530,10:1
531,2:1
532,5:1
533,10:1
534,2:1
535,10:1
536,10:1
537,5:1
538,2:1
539,2:1
540,2:1
541,2:1
542,5:1
543,10:1
544,5:1
545,2:1
546,2:1
547,5:1
548,2:1
549,2:1
550,10:1
551,5:1
552,2:1
553,5:1
554,2:1
555,2:1
556,10:1
557,10:1
558,2:1
559,10:1
560,10:1
561,5:1
562,5:1
563,2:1
564,2:1
565,2:1
566,5:1
567,2:1
568,10:1
569,10:1
570,10:1
571,10:1
572,5:1
573,10:1
574,5:1
575,5:1
576,10:1
577,10:1
578,10:1
579,10:1
580,5:1
581,2:1
582,5:1
583,5:1
584,10:1
585,2:1
586,2:1
587,2:1
588,2:1
589,5:1
590,2:1
591,10:1
592,5:1
593,10:1
594,2:1
595,10:1
596,2:1
597,10:1
598,2:1
599,10:1
600,5:1
601,5:1
602,5:1
603,5:1
604,10:1
605,5:1
606,2:1
607,10:1
608,2:1
609,5:1
610,2:1
611,10:1
612,5:1
613,5:1
614,2:1
615,5:1
616,2:1
617,10:1
618,10:1
619,10:1
620,10:1
621,10:1
622,10:1
623,5:1
624,2:1
625,2:1
626,5:1
627,2:1
628,2:1
629,10:1
630,2:1
631,2:1
632,5:1
633,2:1
634,2:1
635,10:1
636,2:1
637,10:1
638,2:1
639,5:1
640,10:1
641,5:1
642,10:1
643,10:1
644,10:1
645,10:1
646,10:1
647,5:1
648,5:1
649,10:1
650,5:1
651,10:1
652,2:1
653,5:1
654,5:1
655,5:1
656,2:1
657,2:1
658,2:1
659,5:1
660,2:1
661,2:1
662,10:1
663,5:1
664,2:1
665,5:1
666,10:1
667,2:1
668,2:1
669,10:1
670,2:1
671,10:1
672,2:1
673,2:1
674,5:1
675,2:1
676,2:1
677,5:1
678,10:1
679,5:1
680,5:1
681,10:1
682,10:1
683,2:1
684,5:1
685,10:1
686,2:1
687,10:1
688,10:1
689,5:1
690,10:1
691,5:1
692,2:1
693,2:1
694,5:1
695,10:1
696,10:1
697,2:1
698,5:1
699,2:1
700,2:1
701,5:1
702,5:1
703,2:1
704,5:1
705,10:1
706,10:1
707,10:1
708,2:1
709,10:1
710,5:1
711,10:1
712,5:1
713,10:1
714,10:1
715,10:1
716,5:1
717,10:1
718,10:1
719,10:1
720,10:1
721,10:1
722,5:1
723,10:1
724,5:1
725,5:1
726,2:1
727,2:1
728,2:1
729,5:1
730,5:1
731,5:1
732,5:1
733,2:1
734,2:1
735,5:1
736,5:1
737,5:1
738,5:1
739,10:1
740,5:1
741,5:1
742,10:1
743,10:1
744,2:1
745,5:1
746,2:1
747,5:1
748,5:1
749,10:1
750,2:1
751,10:1
752,5:1
753,10:1
754,5:1
755,10:1
756,10:1
757,2:1
758,2:1
